olbp96995	Twelfth Night	William Shakespeare	1623	1996
olbp93488	Family Limitation	Margaret Sanger	1914	1915
olbp97969	The Canterbury Tales	Geoffrey Chaucer	1476	1995
olbp97974	The Adventures of Huckleberry Finn	Mark Twain	1885	1998
olbp101739	The Iron Heel	Jack London	1908	1933
olbp97968	Lysistrata	Aristophanes	411 BCE	1967
olbp93529	Areopagitica	John Milton	1644	1644
olbp93489	Leaves of Grass	Walt Whitman	1855	1881
olbp93487	Candide	Voltaire	1759	1944
olbp84989	The 1619 Project	Nikole Hannah-Jones (ed.)	2019	2020
olbp51220	The Qur'an		7th century CE	2023
olbp51209	The Bible		4th century CE	2023
olbp92431	Ulysses	James Joyce	1922	1920
olbp97963	Uncle Tom's Cabin	Harriet Beecher Stowe	1852	1857
