Q112300317	His Name Is George Floyd	Robert Samuels et al.	2022	2023
Q20669329	Between the World and Me	Ta-Nehisi Coates	2015	2023
Q30078207	The Rabbits' Wedding	Garth Williams	1958	1959
Q85788534	New Kid	Jerry Craft	2019	2021
olbp84989	The 1619 Project	Nikole Hannah-Jones (ed.)	2019	2020
olbp97963	Uncle Tom's Cabin	Harriet Beecher Stowe	1852	1857
olbp97974	The Adventures of Huckleberry Finn	Mark Twain	1885	1998
Q971767	Beloved	Toni Morrison	1987	2013
Q3163506	I Know Why the Caged Bird Sings	Maya Angelou	1969	2025
Q1069956	The Bluest Eye	Toni Morrison	1970	2022
