Q101987239	A Court of Mist and Fury	Sarah J. Maas	2016	2022
Q109266172	Gender Queer: A Memoir	Maia Kobabe	2019	2023
Q109973523	All Boys Aren't Blue	George M. Johnson	2020	2021
Q2032398	Oryx and Crake	Margaret Atwood	2003	2024
olbp92431	Ulysses	James Joyce	1922	1920
olbp93487	Candide	Voltaire	1759	1944
olbp93489	Leaves of Grass	Walt Whitman	1855	1881
olbp97968	Lysistrata	Aristophanes	411 BCE	1967
olbp97969	The Canterbury Tales	Geoffrey Chaucer	1476	1995
Q971767	Beloved	Toni Morrison	1987	2013
olbp64200	Brave New World	Aldous Huxley	1932	2025
Q743180	On the Road	Jack Kerouac	1957	2025
Q7574195	Speak	Laurie Halse Anderson	1999	2023
Q3163506	I Know Why the Caged Bird Sings	Maya Angelou	1969	2025
Q837934	Flowers for Algernon	Daniel Keyes	1959	2025
Q1069956	The Bluest Eye	Toni Morrison	1970	2022
